event_date,f0_
20230626,527
20230627,485
20230628,404
20230629,328
20230630,344
20230701,151
20230702,118
20230703,526
20230704,913
20230705,1006
20230706,685
20230707,492
20230708,182
20230709,163
20230710,580
20230711,511
20230712,532
20230713,549
20230714,458
20230715,82
20230716,90
20230717,451
20230718,439
20230719,315
20230720,549
20230721,527
20230722,156
20230723,112
20230724,502
20230725,506
20230726,541
20230727,537
20230728,500
20230729,196
20230730,173
20230731,624
20230801,309
20230802,227
20230803,856
20230804,771
20230805,232
20230806,172
20230807,606
20230808,678
20230809,674
20230810,651
20230811,696
20230812,241
20230813,222
20230814,1144
20230815,1364
20230816,847
20230817,668
20230818,929
20230819,494
20230820,471
20230821,845
20230822,954
20230823,942
20230824,920
20230825,834
20230826,323
20230827,239
20230828,866
20230829,981
20230830,1048
20230831,828
20230901,675
20230902,299
20230903,250
20230904,768
20230905,784
20230906,774
20230907,766
20230908,734
20230909,326
20230910,275
20230911,830
20230912,739
20230913,722
20230914,855
20230915,778
20230916,326
20230917,289
20230918,828
20230919,799
20230920,704
20230921,664
20230922,664
20230923,228
20230924,177
20230925,575
20230926,626
20230927,728
20230928,506
20230929,592
20230930,248
20231001,261
20231002,333
20231003,568
20231004,600
20231005,607
20231006,592
20231007,251
20231008,233
20231009,663
20231010,613
20231011,595
20231012,678
20231013,672
20231014,418
20231015,309
20231016,566
20231017,535
20231018,620
20231019,629
20231020,564
20231021,382
20231022,381
20231023,642
20231024,512
20231025,564
20231026,730
20231027,498
20231028,320
20231029,224
20231030,491
20231031,531
20231101,516
20231102,555
20231103,478
20231104,336
20231105,286
20231106,576
20231107,598
20231108,525
20231109,519
20231110,505
20231111,255
20231112,217
20231113,482
