,index,forecasted_value,cost_google,cost_meta
0,2023-12-11,255.44857788085938,100000,250000
1,2023-12-12,279.7783203125,100000,250000
2,2023-12-13,848.6408081054688,1050000,800000
3,2023-12-14,789.3279418945312,1050000,800000
4,2023-12-15,788.0997924804688,1050000,800000
5,2023-12-16,718.8700561523438,1050000,800000
6,2023-12-17,715.8204345703125,1050000,800000
7,2023-12-18,363.8009948730469,100000,100000
8,2023-12-19,316.7994689941406,100000,100000
9,2023-12-20,881.3008422851562,560000,600000
10,2023-12-21,944.4854125976562,560000,600000
11,2023-12-22,943.1837158203125,560000,600000
12,2023-12-23,856.8187866210938,560000,600000
13,2023-12-24,859.06005859375,560000,600000
14,2023-12-25,365.00750732421875,100000,100000
15,2023-12-26,345.6347351074219,100000,100000
16,2023-12-27,747.441650390625,560000,260000
17,2023-12-28,742.8973388671875,560000,260000
18,2023-12-29,740.4837646484375,560000,260000
19,2023-12-30,740.77978515625,560000,260000
20,2023-12-31,735.84814453125,560000,260000
